Message,Sentiment
What a wonderful the people around me.,positive
I'm proud of the current state of affairs.,positive
I'm sad about the people around me.,negative
I'm happy about the people around me.,positive
This is great the weather today.,positive
I'm frustrated with the weather today.,negative
Life feels amazing with the people around me.,positive
I regret the weather today.,negative
I'm excited for the weather today.,positive
I'm happy about the situation.,positive
Life feels amazing with the situation.,positive
I'm proud of my achievements.,positive
What an awful the new experience.,negative
I regret my achievements.,negative
I love this meal.,positive
I'm frustrated with the new experience.,negative
This makes me smile the new experience.,positive
I'm disappointed in the people around me.,negative
This makes me smile the outcome.,positive
I love the current state of affairs.,positive
This makes me cry the current state of affairs.,negative
I hate the people around me.,negative
I'm happy about the new experience.,positive
This makes me cry the surprise event.,negative
I enjoy my achievements.,positive
Life feels bad with the weather today.,negative
Life feels bad with the people around me.,negative
I appreciate my achievements.,positive
This makes me smile the weather today.,positive
I dislike the people around me.,negative
I regret the recent news.,negative
I love this song.,positive
I appreciate the recent news.,positive
I love the discussion we had.,positive
What an awful this song.,negative
I dislike the discussion we had.,negative
This is great this song.,positive
I dislike the surprise event.,negative
I'm sad about the view outside.,negative
I enjoy the discussion we had.,positive
I enjoy the outcome.,positive
I enjoy the view outside.,positive
I appreciate this song.,positive
This makes me cry this song.,negative
I regret this opportunity.,negative
This makes me cry the view outside.,negative
I'm excited for the situation.,positive
I'm frustrated with this song.,negative
I'm happy about the discussion we had.,positive
I'm excited for this challenge.,positive
What a wonderful this challenge.,positive
I appreciate the people around me.,positive
Life feels amazing with this opportunity.,positive
I appreciate this meal.,positive
Life feels amazing with the view outside.,positive
I'm excited for the people around me.,positive
I dislike the outcome.,negative
I appreciate the current state of affairs.,positive
I hate the current state of affairs.,negative
I'm proud of the outcome.,positive
Life feels bad with the discussion we had.,negative
What a wonderful this opportunity.,positive
Life feels amazing with the current state of affairs.,positive
I hate the view outside.,negative
I appreciate this opportunity.,positive
What an awful the surprise event.,negative
This is great the view outside.,positive
I'm frustrated with this opportunity.,negative
Life feels amazing with my achievements.,positive
I'm disappointed in the surprise event.,negative
I enjoy this opportunity.,positive
This is terrible this meal.,negative
I regret the current state of affairs.,negative
I hate the situation.,negative
This is terrible the outcome.,negative
Life feels amazing with this meal.,positive
This is terrible this song.,negative
I'm frustrated with the situation.,negative
This is terrible the weather today.,negative
This is terrible the new experience.,negative
I love the outcome.,positive
I appreciate the new experience.,positive
This is great the new experience.,positive
I'm happy about my achievements.,positive
This is terrible the discussion we had.,negative
This makes me smile the surprise event.,positive
I dislike my achievements.,negative
I love the recent news.,positive
What a wonderful the situation.,positive
I enjoy the current state of affairs.,positive
I dislike the weather today.,negative
What a wonderful the outcome.,positive
I'm proud of the view outside.,positive
This is terrible the situation.,negative
Life feels bad with the outcome.,negative
This makes me cry the people around me.,negative
This makes me cry the situation.,negative
I'm excited for the surprise event.,positive
This makes me cry the weather today.,negative
I'm frustrated with the discussion we had.,negative
This makes me cry this opportunity.,negative
I'm disappointed in the view outside.,negative
I regret the new experience.,negative
What an awful the discussion we had.,negative
Life feels amazing with the outcome.,positive
What a wonderful this song.,positive
This is great my achievements.,positive
Life feels bad with my achievements.,negative
I dislike the situation.,negative
I regret this song.,negative
I'm excited for this opportunity.,positive
This is terrible the people around me.,negative
I'm disappointed in the discussion we had.,negative
Life feels amazing with this challenge.,positive
I regret the view outside.,negative
This makes me smile the recent news.,positive
I'm disappointed in the new experience.,negative
This makes me smile this meal.,positive
I'm frustrated with the people around me.,negative
I'm happy about the view outside.,positive
What a wonderful the current state of affairs.,positive
I'm disappointed in the current state of affairs.,negative
I enjoy this challenge.,positive
I appreciate the outcome.,positive
I'm sad about the outcome.,negative
This makes me smile this opportunity.,positive
I appreciate the view outside.,positive
Life feels bad with the situation.,negative
I hate the weather today.,negative
What an awful this challenge.,negative
I'm excited for this song.,positive
This is terrible the surprise event.,negative
This is great the situation.,positive
I regret the people around me.,negative
I'm disappointed in the situation.,negative
This makes me cry the recent news.,negative
This is great the recent news.,positive
Life feels bad with the recent news.,negative
I'm excited for the current state of affairs.,positive
This makes me cry this meal.,negative
I'm proud of the discussion we had.,positive
I'm frustrated with the recent news.,negative
This makes me cry the new experience.,negative
What a wonderful the new experience.,positive
This makes me smile this song.,positive
What a wonderful my achievements.,positive
Life feels bad with the surprise event.,negative
I hate the outcome.,negative
I hate my achievements.,negative
This is terrible the current state of affairs.,negative
This is great this challenge.,positive
I regret the situation.,negative
What an awful this meal.,negative
This makes me smile my achievements.,positive
